name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Tiara Mante;422;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell & Molecular Bio);Doctoral Degrees;2001
Mrs. Sylvania Dach;264;160102;Linguistics;College of Arts & Sciences;Lang, Ling & Lit;Linguistics;Master's Degrees;2001
Clyda Swaniawski DVM;433;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Information Security Assurance;Bachelor's Degrees;2001
Hale Hahn;121;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Master's Degrees;2001
Dominique Douglas PhD;199; 30201;Natural Resource Mgmt & Policy;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Nat Res & Env Mgt;Doctoral Degrees;2001
Dr. Linwood Howe;279;260503;Medical Micro & Bacteriology;School of Medicine;School of Medicine;Biomed Sci (Tropical Medicine);Master's Degrees;2001
Melville Schoen;384;513801;Registered Nursing/Reg Nurse;College of Arts & Sciences;Natural Sciences;Nursing;Bachelor's Degrees;2001
Dasia Konopelski;312;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Tech;Certs of Achievement;2001
Ransom Steuber I;487;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Certs of Achievement;2001
Coby Thiel; 46;422806;Educational Psychology;College of Education;Education;Educational Psychology;Doctoral Degrees;2001
Debroah Dare-Tremblay;215;410101;Biology Technician;Career & Tech Ed;Technology;Agripharmatech;Certs of Achievement;2001
Ms. Leona Hagenes PhD;336;161404;Filipino/Tagalog Lang and Lit;College of Arts & Sciences;Lang, Ling & Lit;Indo Pac Lang & Lit;Bachelor's Degrees;2001
Miss Pearlie Kautzer DVM;230;131202;Elementary Education;College of Arts & Sciences;Social Sciences;Education;Other;2001
Rae Greenfelder;237;260102;Biomedical Science;School of Medicine;School of Medicine;Biomedical Sciences;Master's Degrees;2001
Ryder Mertz; 29;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2001
Dr. Pearley Bode;239;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Mr. Enrico Heaney DVM;341;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Doctoral Degrees;2001
Rodolfo Kunze;337;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Master's Degrees;2001
Zaria Hodkiewicz;216;240103;Humanities;Humanities Division;Humanities;History;Bachelor's Degrees;2001
Bennett Olson-Murphy;110;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Master's Degrees;2001
Retta Schmitt;156; 50299;Ethnic & Cult Studies, Oth;College of Arts & Sciences;Social Sciences;Ethnic Studies;Bachelor's Degrees;2001
Jeremiah Mann;137; 11299;Soil Sciences, Other;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Doctoral Degrees;2001
Cosmo Hirthe-Bradtke; 20;520901;Hospitality Admin/Mgmt, Ge;Career & Tech Ed;Business Education;Hospitality & Tourism;Certs of Achievement;2001
Tisa Rau;356;220202;Programs for Foreign Lawyers;School of Law;School of Law;Law;Master's Degrees;2001
Gerri Dickinson;351;520799;Entrep & Small Business, Other;Career & Tech Ed;Business Education;Applied Business & Infor Tech;Bachelor's Degrees;2001
Amiya Dare;341;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Doctoral Degrees;2001
Eura Wintheiser PhD;129;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Associate Degrees;2001
Lida Turcotte;364;460000;Construction Trades, General;Career & Tech Ed;Technology;Sustainable Construction Tech;Certs of Achievement;2001
Almer DuBuque-Windler;259;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Accounting;Bachelor's Degrees;2001
Odus Moen;482;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Doctoral Degrees;2001
Dr. Male Quigley;183;500999;Music, Other;Career & Tech Ed;Technology;Music & Entertain Learning Exp;Associate Degrees;2001
Miss Evalyn Fahey;158;510907;Radiology;Career & Tech Ed;Health Services;Radiologic Technology;Associate Degrees;2001
Hassan Nitzsche; 76;450901;International Relations;College of Arts & Sciences;Arts & Humanities;China-U.S. Relations;Master's Degrees;2001
Haiden Bruen;453;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Creative Media;Bachelor's Degrees;2001
Abbott Conroy;278;120401;Cosmetology;Career & Tech Ed;Technology;Cosmetology;Certs of Achievement;2001
Devyn Gerlach;456;510913;Athletic Training;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
Lindsey Conn;416;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Associate Degrees;2001
Mr. Berlin Bashirian;482;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Doctoral Degrees;2001
Mr. Ramsey Metz III;171;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Bachelor's Degrees;2001
Cathryn Erdman;374;161001;Am Ind/Nat Am Lang Lit Ling;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Hawn&Indigenous Lang&Cult Rev;Doctoral Degrees;2001
Isreal Lebsack;124;160102;Linguistics;Ka Haka Ula O Keelikolani;Linguistics;;Bachelor's Degrees;2001
Graham Schmeler;195;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Bachelor's Degrees;2001
Mr. Delwin Mraz Jr.;283;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Master's Degrees;2001
Mr. Jeffery Barrows III;356;220202;Programs for Foreign Lawyers;School of Law;School of Law;Law;Master's Degrees;2001
Lorrie Nikolaus DDS;479;301202;Cultural/Heritage ResourceMgmt;College of Arts & Sciences;Social Sciences;Anthropology;Master's Degrees;2001
Keyon Herzog;139;131210;Early Childhood Education;College of Education;Education;Curriculum Studies;Master's Degrees;2001
Ms. Hildegard Bahringer DVM;154;260101;Biology/Biological Sci, Gen;College of Arts & Sciences;Natural Sciences;Biology;Bachelor's Degrees;2001
Mr. Brendon Nitzsche;109;500703;Art Hist, Criticism & Conserv;College of Arts & Sciences;Arts & Humanities;Art;Master's Degrees;2001
Khloe Crist;467; 10606;Plant Nursery Ops & Mgmt;Career & Tech Ed;Technology;Agriculture;Associate Degrees;2001
Shasta Windler; 10;510801;Medical/Clinical Assistant;Career & Tech Ed;Health Services;Medical Assisting;Associate Degrees;2001
Ms. Anabelle Grimes;  9;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2001
Brendan Wisozk-Streich;294;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Doctoral Degrees;2001
Cain Friesen;261;470201;Refrigeration & Air Cond;Career & Tech Ed;Technology;Refrigeration & Air Cond Tech;Certs of Achievement;2001
Jaxon Hilpert;461;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Mechanics Tech;Associate Degrees;2001
Hervey McLaughlin;425;510602;Dental Hygiene;Career & Tech Ed;Health Services;Dental Hygiene;Associate Degrees;2001
Dr. Flossie Rice;400;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2001
Evans Terry;473;513101;Dietetics/Dietitian;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Bachelor's Degrees;2001
Lance Hagenes-Cronin;151;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Doctoral Degrees;2001
Lonzo Cronin; 31;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Technology;Associate Degrees;2001
Ardelia Grady;361; 50102;American Studies;College of Arts & Sciences;Arts & Humanities;American Studies;Doctoral Degrees;2001
Williard Kemmer V;397;130101;Education, General;Education;Education;Education;Bachelor's Degrees;2001
Ansley Ryan;298;440701;Social Work;School of Social Work;School of Social Work;Social Work;Master's Degrees;2001
Damien Sauer;222;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy Studies;Bachelor's Degrees;2001
Mr. Jordyn Bode II; 88;150701;Occuptnl Environmtl Safety Mgt;Career & Tech Ed;Public Services;Occupational Envir Safety Mgt;Associate Degrees;2001
Earlean Schroeder DVM;146;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Arch Eng & CAD Tech;Certs of Achievement;2001
Duwayne Powlowski IV;400;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2001
Migdalia Fadel;387;120500;Food Service;Career & Tech Ed;Food Services;Food Service;Certs of Achievement;2001
Lenord Ratke Jr.;182; 30104;Global Environmental Science;College of Arts & Sciences;Social Sciences;Environmental Science;Bachelor's Degrees;2001
Kizzy Armstrong DDS;228;511005;Medical Technology;School of Medicine;School of Medicine;Medical Technology;Bachelor's Degrees;2001
Jabbar White;218;100303;Digital Media;Career & Tech Ed;Technology;Digital Media Production;Certs of Achievement;2001
Mr. Gunner Schinner;208;100304;Animation, Interactive Tech, V;College of Arts & Sciences;Arts & Humanities;Creative Media;Bachelor's Degrees;2001
Philomene Ritchie;108;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Bachelor's Degrees;2001
Olivine Bergstrom;248;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Bachelor's Degrees;2001
Monserrat Auer; 32;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Tech;Associate Degrees;2001
Dr. Bridger Hoppe II;472;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Master's Degrees;2001
Lum Wintheiser;418;460412;Bldg/Construction SiteMgmt/Mgr;Career & Tech Ed;Technology;Construction Management;Associate Degrees;2001
Christal Jacobson;345;131501;Teacher Assistant/Aide;Career & Tech Ed;Public Services;Educational Paraprofessional;Associate Degrees;2001
Tena Ullrich;104;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Bachelor's Degrees;2001
Lindy Romaguera; 36;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Cell & Molecular Biology;Doctoral Degrees;2001
Taft Marquardt I;473;513101;Dietetics/Dietitian;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Bachelor's Degrees;2001
Brynn Adams;473;513101;Dietetics/Dietitian;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Bachelor's Degrees;2001
Dr. Leticia Schamberger DDS;348;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Master's Degrees;2001
Dr. Authur Cronin;398;159999;Engineering Technology;Career & Tech Ed;Technology;Engineering Tech;Bachelor's Degrees;2001
Leeroy Miller;182; 30104;Global Environmental Science;College of Arts & Sciences;Social Sciences;Environmental Science;Bachelor's Degrees;2001
Dr. Elba Powlowski;323;190901;Fashion Des & Merchandising;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2001
Wendel Hand;  5;131210;Early Childhood Education;Career & Tech Ed;Public Services;Early Childhood Education;Associate Degrees;2001
Julia Hirthe PhD; 47;470605;Diesel Mechanics;Career & Tech Ed;Technology;Diesel Mechanics;Associate Degrees;2001
Kristopher Cormier-Mills;177;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Comp Electronics&Network Tech;Bachelor's Degrees;2001
Darian Streich;189;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Respiratory Care;Bachelor's Degrees;2001
Adin Corkery;135;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabricatn &Repair;Associate Degrees;2001
Wanda Haag-Kilback; 26;131210;Early Childhood Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2001
Frederic Goyette;186;240103;Humanities;Humanities Division;Humanities;Hawaiian/Pacific Studies;Bachelor's Degrees;2001
Edson Hauck;319;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2001
Mr. Dario Feest IV; 68;430107;Administration of Justice;Career & Tech Ed;Public Services;Administration of Justice;Associate Degrees;2001
Mr. Lou Wilkinson;407;190504;Human Nutrition;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Doctoral Degrees;2001
Cristopher Hartmann;487;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Certs of Achievement;2001
Scottie Walker-McKenzie; 70; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Associate Degrees;2001
Constantine Terry;266; 50109;Pacific Islands Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Pacific Studies;Master's Degrees;2001
Mr. Robin Upton; 75;480506;Sheet Metal & Plastics;Career & Tech Ed;Technology;Sheet Metal & Plastics Tech;Certs of Achievement;2001
Miss Tyra Gerlach MD; 97;260399;Botany/Plant Biology, Oth;College of Arts & Sciences;Natural Sciences;Botany Program;Bachelor's Degrees;2001
Tevin Johnson; 79;500701;Art;College of Arts & Sciences;Arts & Humanities;Art;Bachelor's Degrees;2001
Chrissy Kautzer;311;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Other;2001
Charlene Casper;421;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell & Molecular Bio);Master's Degrees;2001
Noelia Raynor;316;520101;General Business;Career & Tech Ed;Business Education;Business Careers;Certs of Achievement;2001
Merwin Klocko;276;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Computer Science;Bachelor's Degrees;2001
Milton Green PhD; 55;130901;Educational Foundations;College of Education;Education;Ed Foundations;Master's Degrees;2001
Dr. Turner Nitzsche; 93;440701;Social Work;School of Social Work;School of Social Work;Social Work;Bachelor's Degrees;2001
Ozell Rowe;  8;130501;Educational Tech;College of Education;Education;Educational Technology;Master's Degrees;2001
Wood Ryan;461;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Mechanics Tech;Associate Degrees;2001
Gil Leffler;447;240103;Humanities;Humanities Division;Humanities;Creative Media;Bachelor's Degrees;2001
Haylee Osinski;239;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Mr. Josephus Roberts;458;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Tech;Associate Degrees;2001
Dr. Fount Langosh;  3;500501;Drama & Theatre;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Bachelor's Degrees;2001
Jajuan Skiles;131;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Doctoral Degrees;2001
Luciana Rath; 42; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Master's Degrees;2001
Wade Ebert;222;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy Studies;Bachelor's Degrees;2001
Wally Corkery;399;510803;Occupational Therapy Assistant;Career & Tech Ed;Health Services;Occupational Therapy Assistant;Associate Degrees;2001
Dr. Nichol Kohler DDS;131;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Doctoral Degrees;2001
Rickie Watsica;396; 50103;Asian Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Asian Studies;Bachelor's Degrees;2001
Lonnie Larson;385;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Berton Hermiston-Parisian;370; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Bachelor's Degrees;2001
Jaron Rosenbaum;196;240101;Liberal Arts;College of Arts & Sciences;Interdisciplinary Majors;Liberal Studies;Bachelor's Degrees;2001
Brittany Nolan; 93;440701;Social Work;School of Social Work;School of Social Work;Social Work;Bachelor's Degrees;2001
Dr. Tripp Herzog Sr.;445;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Architectural Eng & CAD Tech;Certs of Achievement;2001
Paralee Rohan;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2001
Luberta Harber;263;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
Melvina Nikolaus;357;400801;Physics;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Master's Degrees;2001
Dian Yundt-Mills;319;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2001
